City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,35.1333,140.3,72.84,90,100,10.42,moderate rain
1,Ushuaia,AR,-54.8,-68.3,29.86,86,75,20.71,light snow
2,Nikolskoye,RU,59.7035,30.7861,53.49,86,99,5.06,overcast clouds
3,Vaini,TO,-21.2,-175.2,78.96,89,75,8.05,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,35.71,60,75,13.8,broken clouds
5,Jamestown,US,42.097,-79.2353,73.71,72,1,14.74,clear sky
6,Sechura,PE,-5.5569,-80.8222,71.64,57,43,15.93,scattered clouds
7,Mareeba,AU,-17.0,145.4333,68.72,92,31,2.66,scattered clouds
8,Pevek,RU,69.7008,170.3133,36.07,77,100,4.74,overcast clouds
9,Saint-Georges,GD,12.0564,-61.7485,83.88,70,20,21.85,few clouds
10,Bredasdorp,ZA,-34.5322,20.0403,55.35,43,44,6.06,scattered clouds
11,Ketchikan,US,55.3422,-131.6461,61.03,69,73,3.44,broken clouds
12,Atuona,PF,-9.8,-139.0333,77.77,69,0,16.06,clear sky
13,Hermanus,ZA,-34.4187,19.2345,57.67,67,58,12.44,broken clouds
14,Luderitz,NA,-26.6481,15.1594,54.84,89,0,7.54,clear sky
15,Zhezkazgan,KZ,47.8043,67.7144,74.23,24,72,5.66,broken clouds
16,Vostok,RU,46.4856,135.8833,55.2,100,100,1.81,overcast clouds
17,Lorengau,PG,-2.0226,147.2712,81.59,81,100,10.36,overcast clouds
18,Port Elizabeth,ZA,-33.918,25.5701,48.49,93,0,3.44,clear sky
19,Huntsville,US,34.7304,-86.5861,82.27,66,0,4.61,clear sky
20,Kyren,RU,51.6828,102.1408,59.99,96,100,0.65,overcast clouds
21,Avallon,FR,47.4833,3.9,69.39,52,54,4.59,broken clouds
22,Avera,US,33.194,-82.5271,98.65,25,78,8.86,broken clouds
23,Ancud,CL,-41.8697,-73.8203,43.23,76,99,5.73,overcast clouds
24,Shirokiy,RU,49.758,129.523,58.75,88,100,9.4,overcast clouds
25,Busselton,AU,-33.65,115.3333,56.26,69,100,23.38,overcast clouds
26,Bluff,NZ,-46.6,168.3333,39.79,79,100,11.79,overcast clouds
27,Klyuchi,RU,52.2667,79.1667,58.64,78,48,6.49,scattered clouds
28,Oltu,TR,40.5498,42.0013,56.77,91,5,1.63,clear sky
29,Kodiak,US,57.79,-152.4072,49.41,90,100,9.73,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,57.6,85,100,7.85,overcast clouds
31,Pisco,PE,-13.7,-76.2167,68.05,60,0,16.11,clear sky
32,College,US,64.8569,-147.8028,77.58,39,0,1.01,clear sky
33,Adrar,MR,20.5022,-10.0711,85.17,42,98,17.67,light rain
34,Biltine,TD,14.5333,20.9167,92.41,16,84,3.65,broken clouds
35,West Point,US,33.6076,-88.6503,88.09,34,30,6.58,scattered clouds
36,Platanos,GR,37.6667,21.6167,76.08,84,26,3.0,scattered clouds
37,Cabo San Lucas,MX,22.8909,-109.9124,87.19,66,74,7.43,broken clouds
38,Vondrozo,MG,-22.8167,47.2833,55.35,83,9,2.91,clear sky
39,Rikitea,PF,-23.1203,-134.9692,72.81,64,58,4.83,broken clouds
40,Fujin,CN,47.26,132.0322,59.65,91,95,10.63,overcast clouds
41,Cape Town,ZA,-33.9258,18.4232,57.27,90,75,21.85,light rain
42,Dingle,PH,10.9995,122.6711,79.21,84,100,1.57,overcast clouds
43,Codrington,AU,-38.2667,141.9667,45.68,90,12,6.91,few clouds
44,Margate,GB,51.3813,1.3862,69.31,72,6,10.98,clear sky
45,New Norfolk,AU,-42.7826,147.0587,48.92,90,100,0.96,overcast clouds
46,Tiksi,RU,71.6872,128.8694,35.56,83,100,7.25,overcast clouds
47,Hobart,AU,-42.8794,147.3294,49.26,95,75,3.44,broken clouds
48,Albany,US,42.6001,-73.9662,79.95,46,23,1.01,few clouds
49,Ptuj,SI,46.4201,15.8702,63.73,88,82,4.61,broken clouds
50,Lebu,CL,-37.6167,-73.65,47.55,79,85,7.61,overcast clouds
51,Kapaa,US,22.0752,-159.319,82.47,75,29,5.01,scattered clouds
52,Porbandar,IN,21.6422,69.6093,84.58,78,100,15.3,overcast clouds
53,Naryan-Mar,RU,67.6713,53.087,57.81,80,77,4.07,broken clouds
54,Lavrentiya,RU,65.5833,-171.0,47.82,61,16,2.57,few clouds
55,Roald,NO,62.5833,6.1333,58.91,87,75,25.32,broken clouds
56,Butaritari,KI,3.0707,172.7902,82.4,77,12,15.17,few clouds
57,Leningradskiy,RU,69.3833,178.4167,39.49,69,62,6.35,broken clouds
58,Mataura,NZ,-46.1927,168.8643,39.47,92,75,1.63,broken clouds
59,Vanimo,PG,-2.6741,141.3028,77.85,87,78,5.3,broken clouds
60,Caucaia,BR,-3.7361,-38.6531,81.03,71,0,6.91,clear sky
61,Chernyshkovskiy,RU,48.4219,42.2308,61.21,63,19,4.76,few clouds
62,Castro,BR,-24.7911,-50.0119,60.08,95,98,9.13,light rain
63,Borovskoy,KZ,53.8,64.15,60.93,79,45,1.97,scattered clouds
64,Oksfjord,NO,70.2396,22.3479,48.99,80,66,8.03,broken clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,57,5.99,broken clouds
66,Nizhniy Tsasuchey,RU,50.5167,115.1333,66.85,58,81,1.9,broken clouds
67,Khatanga,RU,71.9667,102.5,52.84,68,89,19.66,overcast clouds
68,Faya,SA,18.3851,42.4509,72.12,26,40,5.41,scattered clouds
69,Bambous Virieux,MU,-20.3428,57.7575,69.22,94,20,6.91,few clouds
70,La Ronge,CA,55.1001,-105.2842,59.25,67,75,16.11,broken clouds
71,San Quintin,MX,30.4833,-115.95,69.96,66,40,15.84,scattered clouds
72,Micheweni,TZ,-4.9667,39.8333,76.8,77,6,12.62,clear sky
73,Narsaq,GL,60.9167,-46.05,45.41,83,100,3.13,light rain
74,Victoria,HK,22.2855,114.1577,84.38,85,99,10.0,overcast clouds
75,Carnarvon,AU,-24.8667,113.6333,70.16,68,93,5.73,overcast clouds
76,Mangan,IN,27.5167,88.5333,73.69,99,100,1.05,overcast clouds
77,Congleton,GB,53.1631,-2.2125,65.05,74,73,7.16,broken clouds
78,Flinders,AU,-34.5833,150.8552,56.17,70,96,5.01,overcast clouds
79,Yarkovo,RU,57.4028,67.0786,54.41,76,5,2.62,clear sky
80,Khao Wong,TH,16.7001,104.0902,75.92,83,43,2.55,scattered clouds
81,Lazaro Cardenas,MX,17.9583,-102.2,82.76,68,90,9.48,overcast clouds
82,Bubaque,GW,11.2833,-15.8333,79.09,77,90,13.06,overcast clouds
83,Qaanaaq,GL,77.484,-69.3632,39.9,76,5,4.34,clear sky
84,Ashland,US,40.8167,-82.2665,80.56,47,0,13.71,clear sky
85,Garissa,KE,-0.4536,39.6401,74.84,75,39,17.38,scattered clouds
86,Wakkanai,JP,45.4094,141.6739,56.89,91,94,17.0,overcast clouds
87,Mankono,CI,8.0586,-6.1897,71.04,95,100,8.3,light rain
88,Hilo,US,19.7297,-155.09,87.28,83,47,5.99,scattered clouds
89,Gandiaye,SN,14.2333,-16.2667,87.91,70,100,13.13,overcast clouds
90,Edmundston,CA,47.3737,-68.3251,71.74,77,33,8.95,scattered clouds
91,Auki,SB,-8.7676,160.7034,79.05,80,100,3.36,overcast clouds
92,Avarua,CK,-21.2078,-159.775,80.65,65,20,9.22,few clouds
93,Tutoia,BR,-2.7619,-42.2744,77.77,79,98,6.89,overcast clouds
94,Barinas,VE,8.6226,-70.2075,80.64,83,62,10.36,broken clouds
95,Liwale,TZ,-9.7667,37.9333,67.24,68,89,2.3,overcast clouds
96,Niono,ML,14.2526,-5.993,86.29,46,99,8.93,light rain
97,Agar,IN,23.7,76.0167,83.62,61,100,10.04,overcast clouds
98,Ribeira Grande,PT,38.5167,-28.7,68.13,88,2,8.28,clear sky
99,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,45,75,0.0,broken clouds
100,Los Algarrobos,PA,8.5,-82.4333,82.81,70,40,5.75,scattered clouds
101,Yellowknife,CA,62.456,-114.3525,68.52,40,40,8.05,scattered clouds
102,Okhotsk,RU,59.3833,143.3,45.59,88,94,4.03,overcast clouds
103,Jacksonville,US,30.3322,-81.6556,95.41,61,40,6.91,scattered clouds
104,Hasaki,JP,35.7333,140.8333,70.2,80,100,4.38,light rain
105,Gharo,PK,24.7424,67.5856,86.22,69,47,18.05,scattered clouds
106,Loyga,RU,61.0784,44.6075,46.18,97,29,4.61,scattered clouds
107,Port Alfred,ZA,-33.5906,26.891,62.96,36,1,11.16,clear sky
108,Berlevag,NO,70.8578,29.0864,41.0,93,75,11.5,drizzle
109,East London,ZA,-33.0153,27.9116,64.69,30,0,8.5,clear sky
110,Santa Rosa,PH,14.3122,121.1114,84.18,75,14,4.9,few clouds
111,Barrow,US,71.2906,-156.7887,37.42,93,100,11.5,overcast clouds
112,Tomigusuku,JP,26.185,127.675,77.14,94,75,13.8,broken clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,46.42,82,75,14.97,broken clouds
114,Bengkulu,ID,-3.8004,102.2655,74.89,91,91,7.29,overcast clouds
115,Contamana,PE,-7.3333,-75.0167,87.67,49,43,2.91,scattered clouds
116,Kruisfontein,ZA,-34.0033,24.7314,59.11,30,21,9.48,few clouds
117,Tagusao,PH,9.1924,117.8141,80.01,79,49,3.36,scattered clouds
118,Mizdah,LY,31.4451,12.9801,73.69,44,7,12.41,clear sky
119,Katherine,AU,-14.4667,132.2667,57.52,51,10,5.75,clear sky
120,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,84,100,18.41,overcast clouds
121,Maniitsoq,GL,65.4167,-52.9,36.75,97,100,10.87,moderate rain
122,Bronnoysund,NO,65.4625,12.1997,60.8,63,0,15.01,clear sky
123,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,93,40,6.69,scattered clouds
124,Barabai,ID,-2.5833,115.3833,72.5,99,100,1.39,overcast clouds
125,Kahului,US,20.8947,-156.47,81.97,80,27,11.01,scattered clouds
126,Peniche,PT,39.3558,-9.3811,67.1,88,52,6.78,broken clouds
127,Bose,IT,45.4612,8.0137,78.39,82,43,7.54,scattered clouds
128,Kavaratti,IN,10.5669,72.642,81.82,75,99,12.73,overcast clouds
129,Tahlequah,US,35.9154,-94.97,97.02,24,0,3.44,clear sky
130,Gemena,CD,3.25,19.7667,69.6,99,100,1.61,overcast clouds
131,Russell,US,32.3502,-85.1999,96.96,29,6,7.83,clear sky
132,Cerro Punta,PA,8.85,-82.5667,57.74,91,100,1.48,overcast clouds
133,Iqaluit,CA,63.7506,-68.5145,44.33,56,100,21.85,overcast clouds
134,Kavieng,PG,-2.5744,150.7967,82.62,69,45,12.88,scattered clouds
135,Husavik,IS,66.0449,-17.3389,44.58,98,100,18.57,overcast clouds
136,Levin,NZ,-40.6333,175.275,55.67,88,99,3.67,overcast clouds
137,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,0,6.91,clear sky
138,Klaksvik,FO,62.2266,-6.589,49.12,90,100,36.55,light rain
139,Navalmoral De La Mata,ES,39.8916,-5.5406,86.95,35,56,8.08,broken clouds
140,Fort Nelson,CA,58.8053,-122.7002,65.79,59,75,12.66,thunderstorm
141,Caravelas,BR,-17.7125,-39.2481,68.4,88,3,4.74,clear sky
142,Eyl,SO,7.9803,49.8164,77.7,80,21,22.64,few clouds
143,Guiyang,CN,26.5833,106.7167,67.57,98,100,1.68,overcast clouds
144,Ilulissat,GL,69.2167,-51.1,39.22,87,75,9.22,broken clouds
145,Pojuca,BR,-12.4231,-38.326,68.32,88,54,2.91,broken clouds
146,Simao,CN,22.7886,100.9748,62.38,100,100,1.66,overcast clouds
147,Turukhansk,RU,65.8167,87.9833,54.84,55,42,12.3,scattered clouds
148,Anadyr,RU,64.75,177.4833,44.67,79,100,12.68,overcast clouds
149,Salalah,OM,17.0151,54.0924,82.9,85,65,6.8,broken clouds
150,Ola,RU,59.5833,151.2833,50.14,87,74,4.72,broken clouds
151,Huaicheng,CN,23.9051,112.1931,73.76,99,100,0.67,light rain
152,Byron Bay,AU,-28.65,153.6167,52.95,79,68,8.81,light rain
153,Birao,CF,10.2849,22.7882,76.17,72,100,6.46,overcast clouds
154,Alofi,NU,-19.0595,-169.9187,78.48,76,61,23.04,light rain
155,Jalu,LY,29.0331,21.5482,79.95,42,0,15.61,clear sky
156,Te Anau,NZ,-45.4167,167.7167,39.38,92,77,1.1,broken clouds
157,Vestmannaeyjar,IS,63.4427,-20.2734,48.43,82,82,28.1,broken clouds
158,Manokwari,ID,-0.8667,134.0833,78.46,74,14,2.21,few clouds
159,Sitka,US,57.0531,-135.33,62.26,70,91,7.78,overcast clouds
160,Yavatmal,IN,20.4,78.1333,79.66,76,91,6.04,overcast clouds
161,Tazovskiy,RU,67.4667,78.7,45.23,61,29,8.19,scattered clouds
162,Faanui,PF,-16.4833,-151.75,80.33,70,4,18.21,clear sky
163,Nanzhang,CN,31.7765,111.8386,72.9,81,100,3.42,overcast clouds
164,Nouadhibou,MR,20.931,-17.0347,69.1,79,0,23.91,clear sky
165,Iquique,CL,-20.2208,-70.1431,60.84,78,3,9.35,clear sky
166,Sokolovo,RU,52.5318,84.7896,56.14,94,100,3.83,overcast clouds
167,Sao Filipe,CV,14.8961,-24.4956,74.97,76,7,8.32,clear sky
168,Saint George,US,37.1041,-113.5841,102.79,4,0,33.38,haze
169,Camocim,BR,-2.9022,-40.8411,76.93,84,94,8.48,overcast clouds
170,Campos,BR,-21.75,-41.3,65.55,90,0,8.84,clear sky
171,Launceston,AU,-41.45,147.1667,45.16,93,100,0.0,moderate rain
172,Praxedis Guerrero,MX,31.3667,-106.0167,98.96,14,13,14.34,few clouds
173,Sayyan,YE,15.1718,44.3244,67.64,38,89,10.56,overcast clouds
174,Mus,TR,39.0,41.75,59.92,56,0,1.7,clear sky
175,Altay,CN,47.8667,88.1167,51.82,63,59,3.47,broken clouds
176,Guerrero Negro,MX,27.9769,-114.0611,74.77,55,49,15.05,scattered clouds
177,Portland,US,45.5234,-122.6762,63.55,82,100,8.99,light rain
178,Egvekinot,RU,66.3167,-179.1667,40.53,80,80,5.23,broken clouds
179,Pilar,BR,-9.5972,-35.9567,71.56,95,98,3.44,overcast clouds
180,Clyde River,CA,70.4692,-68.5914,33.62,84,100,21.18,overcast clouds
181,Grants,US,35.1473,-107.8514,64.63,77,100,3.44,moderate rain
182,Sinnamary,GF,5.3833,-52.95,77.61,84,100,6.67,overcast clouds
183,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,20,19.57,few clouds
184,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,23.02,light rain
185,Bougouni,ML,11.417,-7.479,77.72,75,92,7.58,light rain
186,Ostrovnoy,RU,68.0531,39.5131,39.6,98,100,17.78,light rain
187,San Patricio,US,28.017,-97.5169,95.72,43,18,16.15,few clouds
188,Kununurra,AU,-15.7667,128.7333,49.98,81,2,0.0,clear sky
189,Maracacume,BR,-2.0428,-45.9592,77.65,79,100,3.74,overcast clouds
190,Lucapa,AO,-8.4192,20.7447,65.19,34,10,3.06,clear sky
191,Rundu,NA,-17.9333,19.7667,55.27,34,3,6.76,clear sky
192,Suntar,RU,62.1444,117.6319,58.95,54,15,0.74,few clouds
193,Broome,US,42.2506,-75.833,77.36,52,75,14.97,broken clouds
194,Kaitangata,NZ,-46.2817,169.8464,41.04,84,74,9.01,broken clouds
195,Kemijarvi,FI,66.7131,27.4306,40.59,89,73,3.06,broken clouds
196,Aklavik,CA,68.2191,-135.0107,75.72,27,59,20.18,broken clouds
197,Axim,GH,4.8699,-2.2405,76.15,86,99,9.24,light rain
198,Georgetown,MY,5.4112,100.3354,78.73,97,20,2.3,few clouds
199,Fortuna,US,40.5982,-124.1573,64.9,62,0,13.8,clear sky
200,Dikson,RU,73.5069,80.5464,30.27,94,77,11.3,broken clouds
201,Zhanaozen,KZ,43.3,52.8,76.21,57,56,25.75,broken clouds
202,Maceio,BR,-9.6658,-35.7353,72.84,88,75,5.75,broken clouds
203,Ahipara,NZ,-35.1667,173.1667,59.13,94,100,8.16,moderate rain
204,Norman Wells,CA,65.282,-126.8329,72.01,33,0,9.66,clear sky
205,Morant Bay,JM,17.8815,-76.4093,81.72,74,84,7.85,broken clouds
206,Lagoa,PT,39.05,-27.9833,66.25,91,0,7.87,clear sky
207,Hithadhoo,MV,-0.6,73.0833,82.13,72,100,6.93,overcast clouds
208,Bethel,US,41.3712,-73.414,86.54,44,11,3.0,few clouds
209,Port Hardy,CA,50.6996,-127.4199,57.65,68,52,15.95,broken clouds
210,Hualmay,PE,-11.0964,-77.6139,63.77,76,29,11.05,scattered clouds
211,Severo-Kurilsk,RU,50.6789,156.125,48.54,91,100,9.4,overcast clouds
212,Vila Velha,BR,-20.3297,-40.2925,70.95,86,0,4.0,clear sky
213,Souillac,MU,-20.5167,57.5167,64.78,88,20,8.05,few clouds
214,Hirara,JP,24.8,125.2833,80.87,94,75,5.75,broken clouds
215,Tuatapere,NZ,-46.1333,167.6833,42.24,87,79,3.58,broken clouds
216,Ujfeherto,HU,47.8,21.6833,69.6,65,28,11.01,scattered clouds
217,Collie,AU,-33.3667,116.15,50.0,85,91,11.95,overcast clouds
218,Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,scattered clouds
219,Pakxan,LA,18.3778,103.6601,75.15,96,95,0.6,overcast clouds
220,Airai,TL,-8.9266,125.4092,56.53,94,25,3.98,scattered clouds
221,Mogadishu,SO,2.0371,45.3438,78.89,77,30,17.05,scattered clouds
222,Sahuaripa,MX,29.05,-109.2333,103.89,23,13,15.43,few clouds
223,Arkhara,RU,49.4212,130.0842,58.05,92,100,9.71,overcast clouds
224,San Cristobal,VE,7.7669,-72.225,76.98,63,83,4.32,broken clouds
